head,relation,tail,source
水果和蔬菜,Recommended_Intake,至少5份/天,A_quick_guide_to_govt_healthy_eating_update.pdf
水果和蔬菜,Recommended_Freq,每天,A_quick_guide_to_govt_healthy_eating_update.pdf
水果,Nutrient_Content,维生素,A_quick_guide_to_govt_healthy_eating_update.pdf
蔬菜,Nutrient_Content,维生素,A_quick_guide_to_govt_healthy_eating_update.pdf
水果,Nutrient_Content,矿物质,A_quick_guide_to_govt_healthy_eating_update.pdf
蔬菜,Nutrient_Content,矿物质,A_quick_guide_to_govt_healthy_eating_update.pdf
一份水果,Recommended_Intake,80g,A_quick_guide_to_govt_healthy_eating_update.pdf
一份蔬菜,Recommended_Intake,80g,A_quick_guide_to_govt_healthy_eating_update.pdf
100%果汁和/或冰沙,Max_Limit,150ml/天,A_quick_guide_to_govt_healthy_eating_update.pdf
100%果汁和/或冰沙,Has_Risk,蛀牙风险,A_quick_guide_to_govt_healthy_eating_update.pdf
干果,Recommended_Intake,30g/份,A_quick_guide_to_govt_healthy_eating_update.pdf
干果,Has_Risk,蛀牙风险,A_quick_guide_to_govt_healthy_eating_update.pdf
全谷物食物,Nutrient_Content,纤维,A_quick_guide_to_govt_healthy_eating_update.pdf
全谷物食物,Has_Benefit,更多营养,A_quick_guide_to_govt_healthy_eating_update.pdf
全麦面食,Target_Recommendation,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
糙米,Target_Recommendation,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
带皮土豆,Target_Recommendation,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
脱脂牛奶,Target_Recommendation,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
1%牛奶,Target_Recommendation,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
半脱脂牛奶,Target_Recommendation,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
低脂低糖酸奶,Target_Recommendation,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
低脂低盐奶酪,Target_Recommendation,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
无糖钙强化豆奶,Target_Recommendation,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
豆类,Substitute_With,肉类,A_quick_guide_to_govt_healthy_eating_update.pdf
豌豆,Substitute_With,肉类,A_quick_guide_to_govt_healthy_eating_update.pdf
扁豆,Substitute_With,肉类,A_quick_guide_to_govt_healthy_eating_update.pdf
豆类,Nutrient_Content,低脂肪,A_quick_guide_to_govt_healthy_eating_update.pdf
豌豆,Nutrient_Content,低脂肪,A_quick_guide_to_govt_healthy_eating_update.pdf
扁豆,Nutrient_Content,低脂肪,A_quick_guide_to_govt_healthy_eating_update.pdf
豆类,Nutrient_Content,高纤维,A_quick_guide_to_govt_healthy_eating_update.pdf
豌豆,Nutrient_Content,高纤维,A_quick_guide_to_govt_healthy_eating_update.pdf
扁豆,Nutrient_Content,高纤维,A_quick_guide_to_govt_healthy_eating_update.pdf
豆类,Nutrient_Content,蛋白质,A_quick_guide_to_govt_healthy_eating_update.pdf
豌豆,Nutrient_Content,蛋白质,A_quick_guide_to_govt_healthy_eating_update.pdf
扁豆,Nutrient_Content,蛋白质,A_quick_guide_to_govt_healthy_eating_update.pdf
鱼类,Recommended_Intake,2份/周,A_quick_guide_to_govt_healthy_eating_update.pdf
鱼类,Recommended_Freq,每周,A_quick_guide_to_govt_healthy_eating_update.pdf
一份鱼,Recommended_Intake,140g,A_quick_guide_to_govt_healthy_eating_update.pdf
油性鱼,Recommended_Intake,1份/周,A_quick_guide_to_govt_healthy_eating_update.pdf
油性鱼,Recommended_Freq,每周,A_quick_guide_to_govt_healthy_eating_update.pdf
鲑鱼,Nutrient_Content,油性鱼,A_quick_guide_to_govt_healthy_eating_update.pdf
沙丁鱼,Nutrient_Content,油性鱼,A_quick_guide_to_govt_healthy_eating_update.pdf
鲭鱼,Nutrient_Content,油性鱼,A_quick_guide_to_govt_healthy_eating_update.pdf
腌鱼,Nutrient_Content,油性鱼,A_quick_guide_to_govt_healthy_eating_update.pdf
红肉和加工肉类,Max_Limit,70g/天,A_quick_guide_to_govt_healthy_eating_update.pdf
加工肉类,Nutrient_Content,高脂肪,A_quick_guide_to_govt_healthy_eating_update.pdf
加工肉类,Nutrient_Content,高饱和脂肪,A_quick_guide_to_govt_healthy_eating_update.pdf
瘦肉块,Target_Recommendation,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
瘦肉末,Target_Recommendation,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
肉类,Preparation_Method,去除脂肪,A_quick_guide_to_govt_healthy_eating_update.pdf
鸡肉,Preparation_Method,去皮,A_quick_guide_to_govt_healthy_eating_update.pdf
肉类,Preparation_Method,烧烤,A_quick_guide_to_govt_healthy_eating_update.pdf
鱼类,Preparation_Method,烧烤,A_quick_guide_to_govt_healthy_eating_update.pdf
肉类,Preparation_Method,蒸煮,A_quick_guide_to_govt_healthy_eating_update.pdf
鱼类,Preparation_Method,蒸煮,A_quick_guide_to_govt_healthy_eating_update.pdf
不饱和油,Target_Recommendation,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
植物油,Nutrient_Content,不饱和脂肪,A_quick_guide_to_govt_healthy_eating_update.pdf
菜籽油,Nutrient_Content,不饱和脂肪,A_quick_guide_to_govt_healthy_eating_update.pdf
橄榄油,Nutrient_Content,不饱和脂肪,A_quick_guide_to_govt_healthy_eating_update.pdf
所有脂肪,Has_Risk,高能量,A_quick_guide_to_govt_healthy_eating_update.pdf
高脂肪高盐高糖食物,Target_Avoid,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
巧克力,Target_Avoid,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
蛋糕,Target_Avoid,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
饼干,Target_Avoid,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
全糖软饮料,Target_Avoid,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
黄油,Target_Avoid,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
奶油,Target_Avoid,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
冰淇淋,Target_Avoid,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
液体,Recommended_Intake,6-8杯/天,A_quick_guide_to_govt_healthy_eating_update.pdf
水,Target_Recommendation,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
低脂牛奶,Target_Recommendation,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
无糖饮料,Target_Recommendation,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
茶,Target_Recommendation,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
咖啡,Target_Recommendation,健康人群,A_quick_guide_to_govt_healthy_eating_update.pdf
100%果汁和冰沙,Has_Risk,游离糖来源,A_quick_guide_to_govt_healthy_eating_update.pdf
无糖软饮料,Substitute_With,含糖软饮料,A_quick_guide_to_govt_healthy_eating_update.pdf
无添加糖软饮料,Substitute_With,含糖软饮料,A_quick_guide_to_govt_healthy_eating_update.pdf
食品标签,Has_Benefit,选择更健康食物,A_quick_guide_to_govt_healthy_eating_update.pdf
早餐,Recommended_Intake,1.7 MJ/400kcal,A_quick_guide_to_govt_healthy_eating_update.pdf
午餐,Recommended_Intake,2.5 MJ/600kcal,A_quick_guide_to_govt_healthy_eating_update.pdf
晚餐,Recommended_Intake,2.5 MJ/600kcal,A_quick_guide_to_govt_healthy_eating_update.pdf
零食和饮料,Recommended_Intake,1.7 MJ/400kcal,A_quick_guide_to_govt_healthy_eating_update.pdf
可能怀孕的女性,Target_Recommendation,叶酸补充剂,A_quick_guide_to_govt_healthy_eating_update.pdf
计划怀孕的女性,Target_Recommendation,叶酸补充剂,A_quick_guide_to_govt_healthy_eating_update.pdf
叶酸补充剂,Recommended_Intake,400µg/天,A_quick_guide_to_govt_healthy_eating_update.pdf
叶酸补充剂,Has_Benefit,降低神经管缺陷风险,A_quick_guide_to_govt_healthy_eating_update.pdf
高风险NTD女性,Target_Recommendation,叶酸补充剂,A_quick_guide_to_govt_healthy_eating_update.pdf
高风险NTD女性,Recommended_Intake,5mg/天,A_quick_guide_to_govt_healthy_eating_update.pdf
孕妇,Target_Recommendation,富含叶酸食物,A_quick_guide_to_govt_healthy_eating_update.pdf
绿色蔬菜,Nutrient_Content,叶酸,A_quick_guide_to_govt_healthy_eating_update.pdf
